"","X","labnr","bp","std","site","lat","lng","db_source"
"2466",3230,"Lv-858",8140,800,"Mannlefelsen",47.46,7.24,"XRONOS"
"2467",3231,"Ly-1016",7860,280,"Mannlefelsen",47.46,7.24,"XRONOS"
"2468",3232,"Ly-1297",8230,300,"Mannlefelsen",47.46,7.24,"XRONOS"
"6172",7878,"ETH-11120/UZ-3570",3845,60,"Alle - Noir Bois",47.4172,7.1122,"XRONOS"
"6173",7879,"UZ-951",5020,90,"Cham - St. Andreas, Strandbad",47.18,8.47,"XRONOS"
"6174",7880,"ETH-26184/UZ-4828",5050,60,"Dornach - Landskronstrasse",47.4769,7.6138,"XRONOS"
"6175",7881,"KN-121",5080,70,"Egolzwil 4",47.18,8.01,"XRONOS"
"6178",7886,"ETH-22682/UZ-4428",4110,55,"Rapperswil - Kempraten",47.2243,8.8187,"XRONOS"
"9060",11078,"ETH-11674",2960,50,"Baar ZG, Martinspark",47.1942,8.5222,"XRONOS"
"9061",11079,"ETH-11673",2980,65,"Baar ZG, Martinspark",47.1942,8.5222,"XRONOS"
"9062",11080,"ETH-11670",3030,65,"Baar ZG, Martinspark",47.1942,8.5222,"XRONOS"
"9063",11081,"ETH-11669",3085,65,"Baar ZG, Martinspark",47.1942,8.5222,"XRONOS"
"9064",11082,"ETH-11672",3235,65,"Baar ZG, Martinspark",47.1942,8.5222,"XRONOS"
"9065",11083,"ETH-23898",3265,55,"Baar, Früebergstrasse",47.1992,8.5239,"XRONOS"
"9066",11084,"ETH-23897",3300,55,"Baar, Früebergstrasse",47.1992,8.5239,"XRONOS"
"9067",11085,"ETH-23896",3330,55,"Baar, Früebergstrasse",47.1992,8.5239,"XRONOS"
"9068",11086,"Ly-1098",3190,200,"Baie d’Auvernier",46.9743,6.8822,"XRONOS"
"9069",11087,"UZ-4209/ETH-19324",3320,60,"Basel BS, Neuhausstrasse 31",47.5835,7.5959,"XRONOS"
"9070",11088,"B-3610",2960,70,"Bavois-en-Raillon",46.6865,6.5746,"XRONOS"
"9071",11089,"B-3608",3100,70,"Bavois-en-Raillon",46.6865,6.5746,"XRONOS"
"9072",11090,"B-3611",3230,60,"Bavois-en-Raillon",46.6865,6.5746,"XRONOS"
"9075",11093,"Ua-20702",2610,45,"Birch, Düdingen",46.8554,7.1872,"XRONOS"
"9076",11094,"ETH-28829",3085,50,"Birmensdorf-Rameren",47.36,8.4513,"XRONOS"
"9077",11095,"ETH-28491",3125,50,"Birmensdorf-Rameren",47.36,8.4513,"XRONOS"
"9078",11096,"ETH-33129",3170,55,"Birmensdorf-Rameren",47.36,8.4513,"XRONOS"
"9079",11097,"ETH-28490",3210,50,"Birmensdorf-Rameren",47.36,8.4513,"XRONOS"
"9080",11098,"ETH-33132",3265,55,"Birmensdorf-Rameren",47.36,8.4513,"XRONOS"
"9081",11099,"ETH-28828",3285,50,"Birmensdorf-Rameren",47.36,8.4513,"XRONOS"
"9082",11100,"ETH-33133",3285,50,"Birmensdorf-Rameren",47.36,8.4513,"XRONOS"
"9083",11101,"ETH-33131",3305,50,"Birmensdorf-Rameren",47.36,8.4513,"XRONOS"
"9084",11102,"ETH-33152",3320,50,"Birmensdorf-Rameren",47.36,8.4513,"XRONOS"
"9085",11103,"ETH-33136",3365,50,"Birmensdorf-Rameren",47.36,8.4513,"XRONOS"
"9086",11104,"ETH-33140",3415,50,"Birmensdorf-Rameren",47.36,8.4513,"XRONOS"
"9087",11105,"ETH-33137",3470,55,"Birmensdorf-Rameren",47.36,8.4513,"XRONOS"
"9088",11106,"ETH-28488",3505,50,"Birmensdorf-Rameren",47.36,8.4513,"XRONOS"
"9089",11107,"ETH-33144",3540,45,"Birmensdorf-Rameren",47.36,8.4513,"XRONOS"
"9090",11108,"ETH-14864",2585,65,"Birmensdorf-Wannenboden",47.3434,8.4558,"XRONOS"
"9091",11109,"ETH-14867",2655,70,"Birmensdorf-Wannenboden",47.3434,8.4558,"XRONOS"
"9092",11110,"ETH-14868",2775,70,"Birmensdorf-Wannenboden",47.3434,8.4558,"XRONOS"
"9099",11117,"ETH-34388",2760,50,"Boswil AG, Eibolde",47.2895,8.3233,"XRONOS"
"9100",11118,"ETH-34387",2830,55,"Boswil AG, Eibolde",47.2895,8.3233,"XRONOS"
"9101",11119,"Ua-20068",3425,45,"Bulle FR, La Prila I",46.6304,7.0466,"XRONOS"
"9102",11120,"Ua-24629",2950,40,"Bulle FR, Le Terraillet",46.6311,7.0619,"XRONOS"
"9103",11121,"Ua-20069",3550,45,"Bulle FR, Planchy d’Avau",46.6258,7.0428,"XRONOS"
"9111",11129,"ETH-14943",3060,50,"Châbles FR, Le Péchau",46.8226,6.826,"XRONOS"
"9112",11130,"ETH-11709",2960,60,"Cham-Oberwil",47.2125,8.4595,"XRONOS"
"9113",11131,"ETH-11712",3015,60,"Cham-Oberwil",47.2125,8.4595,"XRONOS"
"9114",11132,"ETH-11713",3025,60,"Cham-Oberwil",47.2125,8.4595,"XRONOS"
"9115",11133,"ETH-11710",3050,65,"Cham-Oberwil",47.2125,8.4595,"XRONOS"
"9116",11134,"ETH-11708",3060,60,"Cham-Oberwil",47.2125,8.4595,"XRONOS"
"9117",11135,"Ua-11878",3145,70,"Cham-Oberwil",47.2125,8.4595,"XRONOS"
"9118",11136,"Ua-11876",3150,70,"Cham-Oberwil",47.2125,8.4595,"XRONOS"
"9119",11137,"Ua-11877",3180,80,"Cham-Oberwil",47.2125,8.4595,"XRONOS"
"9120",11138,"Ua-11871",3295,70,"Cham-Oberwil",47.2125,8.4595,"XRONOS"
"9121",11139,"Ua-11872",3300,70,"Cham-Oberwil",47.2125,8.4595,"XRONOS"
"9122",11140,"Ua-11879",3375,60,"Cham-Oberwil",47.2125,8.4595,"XRONOS"
"9123",11141,"ETH-11706",3420,60,"Cham-Oberwil",47.2125,8.4595,"XRONOS"
"9124",11142,"Ua-11870",3440,65,"Cham-Oberwil",47.2125,8.4595,"XRONOS"
"9127",11145,"ETH-8285",2945,55,"Courgevaux FR, Le Marais 1",46.906,7.0961,"XRONOS"
"9128",11146,"ETH-8284",3305,60,"Courgevaux FR, Le Marais 1",46.906,7.0961,"XRONOS"
"9129",11147,"ETH-8283",2945,55,"Courgevaux-En Triva",46.9063,7.1082,"XRONOS"
"9131",11149,"KIA-9057",2596,35,"Dachlissen, Wandacher",47.2575,8.4437,"XRONOS"
"9132",11150,"KIA-11473",3455,45,"Dachlissen, Wandacher",47.2575,8.4437,"XRONOS"
"9134",11152,"ARC-171",2770,50,"En Chaplix",46.8943,7.0497,"XRONOS"
"9135",11153,"ARC-495",2850,50,"En Chaplix",46.8943,7.0497,"XRONOS"
