,ID_site,ID_external,state,federal_state,community,cadastral_section,site_type_1,site_type_2,dat_type,chrono_very_rough,chrono_rough,chrono_complex,LV03_Hochwert_fuzzy,LV03_Rechtswert_fuzzy
1,1,001.000. \ 11060,CH,Bern,Aarberg,Bargenfeld,single find,single find,typological,bronze age,MBA,,210738,587911
2,2,013.005. \ 10983,CH,Bern,Aarwangen,Zopfe,single find,stray findings (>1),typological,neolithic,,,231218,624642
3,3,,CH,Bern,Aegerten,Jensberg,single find,single find,typological,bronze age,LBA,HaA,219665,588803
4,6,,CH,Solothurn,Aeschi,Burgäschi-Nordwest,settlement,settlement lakeshore,typological,neolithic,UN,Cortaillod,225369,617889
5,7,255/300.1 \,CH,Vaud,Agiez,La Tuffière,single find,single find STONE AXE,typological,neolithic,,,175197,529785
6,8,255/300.2 \,CH,Vaud,Agiez,undef.,single find,single find,typological,bronze age,,,174982,529093
7,9,1/299.7 \,CH,Vaud,Aigle,Les Afforets,burial place,grave group (>1<10),typological,bronze age,,,130990,567305
8,10,1/300.1 \,CH,Vaud,Aigle,En Goliez,single find,stray findings (>1),typological,bronze age,LBA,,129971,565550
9,11,1/300.11 \,CH,Vaud,Aigle,Claveleyres,single find,single find,NA,bronze age,,,130382,565135
10,12,1/300.12 \,CH,Vaud,Aigle,undef.,single find,stray findings (>1),typological,bronze age,,,130358,564017
11,13,1/304.0 \,CH,Vaud,Aigle,Pré Bacon; les Sablettes,burial place,grave group (>1<10),typological,bronze age,,,130550,566405
12,14,1/305.0 \,CH,Vaud,Aigle,Les Grands Champs; sur Fontaney,burial place,stone cist group (>1<10),typological,bronze age,EBA,BzA2,130035,565914
13,15,1/308.0 \,CH,Vaud,Aigle,En Verschiez,burial place,stone cist group (>1<10),typological,bronze age,,,129558,565007
14,16,1/311.0 \,CH,Vaud,Aigle,Plan d'Essert,burial place,stone cist group (>1<10),typological,bronze age,EBA,BzA2,130573,564499
15,17,,CH,Vaud,Aigle,undef.,single find,single find,typological,bronze age,EBA,BzA2,130024,563669
16,18,,CH,Vaud,Aigle,undef.,burial place,grave group (>1<10),typological,neolithic,,,130412,563547
17,19,,CH,Genève,Aïre,Iles d'Aïre,single find,single find,typological,bronze age,MBA,BzB,118412,498571
18,20,326/301.1 \,CH,Vaud,Allaman,En Verex; Chemin du Lac,burial place,grave group (>1<10),14-C,neolithic,UN,Cortaillod,147207,579963
19,25,,CH,Bern,Allmendingen,Gümligenweg,settlement,settlement mineral soil,14-C,bronze age,EBA,BzA2,196459,607030
20,26,,CH,Bern,Allmendingen,Kienermätteli,settlement,settlement mineral soil,14-C,bronze age,LBA,HaB,196649,607155
21,30,,CH,Bern,Alterswil,Bennewil,burial place,grave single,typological,bronze age,LBA,BzD,198406,617507
22,31,430.001.1/2 \ 13034/5,CH,Bern,Amsoldingen,Bürgli Grab,burial place,barrow group (>1<10),typological,bronze age,EBA,BzA2,174912,612991
23,32,430.003. \ 12540,CH,Bern,Amsoldingen,Waldweid,burial place,grave single,typological,bronze age,EBA,BzA2,175025,612847
24,33,GE-016 \,CH,Genève,Anières,Bassy I,settlement,settlement lakeshore,typological,bronze age,LBA,,127445,506890
25,34,GE-017 \,CH,Genève,Anières,Bassy II,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,126831,507486
26,35,,CH,Fribourg,Arconciel,Pré de l'Arche,settlement,settlement mineral soil,14-C,bronze age,LBA,HaB,177735,576247
27,36,,CH,Fribourg,Arconciel,Sous les Châteux; abris 1 et 2,settlement,settlement abri/cave,typological,neolithic,,,177292,575465
28,36,,CH,Fribourg,Arconciel,Sous les Châteux; abris 1 et 2,settlement,settlement abri/cave,14-C,bronze age,LBA,HaB,177391,574806
29,37,,CH,Fribourg,Arconciel,sur le bords de la Sarine,single find,single find,typological,bronze age,LBA,BzD,178254,576589
30,38,,CH,Fribourg,Arconciel,Pré de Villars,single find,single find,typological,bronze age,LBA,BzD,178559,576290
31,41,256/302.0 \,CH,Vaud,Arnex-sur-Orbe,Combettaz,settlement,settlement abri/cave,typological,neolithic,,,172488,529477
32,42,,CH,Solothurn,Burgäschi,Burgäschisee-Nord,settlement,settlement lakeshore,typological,neolithic,UN,Cortaillod,224917,617781
33,42,,CH,Solothurn,Burgäschi,Burgäschisee-Nord,settlement,settlement lakeshore,typological,neolithic,EN,AC/SK,224663,618146
34,43,,CH,Solothurn,Burgäschi,Burgäschisee-Ost,settlement,settlement lakeshore,typological,neolithic,EN,AC/SK,224904,618347
35,43,,CH,Solothurn,Burgäschi,Burgäschisee-Ost,settlement,settlement lakeshore,dendro & 14-C,neolithic,UN,Cortaillod,224388,618496
36,45,,CH,Bern,Attiswil,Leimenstrasse 15,settlement,settlement mineral soil,14-C,bronze age,LBA,BzD,233146,612970
37,46,,CH,Bern,Attiswil,Wiesenweg 15/17,settlement,settlement mineral soil,14-C,neolithic,,,233329,613566
38,46,,CH,Bern,Attiswil,Wiesenweg 15/17,settlement,settlement mineral soil,14-C,bronze age,LBA,HaA|B,233516,613702
39,47,17/300.4 \,CH,Vaud,Aubonne,Taillaz des Huguets,single find,single find,typological,bronze age,LBA,HaB,150682,520180
40,48,,CH,Vaud,Aumont,Bois de Verdières,single find,single find,typological,bronze age,EBA,BzA2,181900,555529
41,48,,CH,Vaud,Aumont,Bois de Verdières,single find,single find,typological,bronze age,MBA,,181618,555025
42,49,17/304.1 \,CH,Vaud,Aubonne,En Trévelin; en Esspens,depot,depot (>1),typological,bronze age,LBA,BzD|HaA,149733,519645
43,50,64(A)6,CH,Aargau,Auenstein,Bündtenweg,settlement,settlement mineral soil,typological,bronze age,MBA,,252289,653604
44,52,,CH,Fribourg,Autavaux,La Crasaz 1,settlement,settlement lakeshore,typological,neolithic,UN,Cortaillod,191546,556844
45,52,,CH,Fribourg,Autavaux,La Crasaz 1,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,191019,556714
46,53,,CH,Fribourg,Autavaux,La Crasaz 2,settlement,settlement lakeshore,dendro,bronze age,LBA,HaA,191439,556494
47,53,,CH,Fribourg,Autavaux,La Crasaz 2,settlement,settlement lakeshore,dendro,bronze age,LBA,BzD,191202,556861
48,56,,CH,Neuchâtel,Auvernier,Brena I,settlement,settlement lakeshore,dendro,bronze age,LBA,HaB,203346,557211
49,57,,CH,Neuchâtel,Auvernier,Brise-Lames,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,202973,558155
50,57,,CH,Neuchâtel,Auvernier,Brise-Lames,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203187,557656
51,57,,CH,Neuchâtel,Auvernier,Brise-Lames,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,203012,557706
52,57,,CH,Neuchâtel,Auvernier,Brise-Lames,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,203138,557595
53,57,,CH,Neuchâtel,Auvernier,Brise-Lames,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,202934,557622
54,57,,CH,Neuchâtel,Auvernier,Brise-Lames,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,203273,557391
55,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro & 14-C,neolithic,EN,AC/SK,202972,557412
56,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,202546,557542
57,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203034,557678
58,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203295,557222
59,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,202707,557194
60,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203205,557815
61,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203173,557178
62,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203140,557637
63,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203068,557719
64,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203079,557066
65,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,202540,557462
66,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203043,557840
67,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,202711,557156
68,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203165,557400
69,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203320,557351
70,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,202902,557469
71,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203277,556969
72,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,202926,557053
73,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,202531,557009
74,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,202813,557352
75,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,UN,Cortaillod,203209,557810
76,58,,CH,Neuchâtel,Auvernier,La Saunerie,settlement,settlement lakeshore,dendro,neolithic,UN,Cortaillod,202596,557222
77,59,,CH,Neuchâtel,Auvernier,Le Port,settlement,settlement lakeshore,dendro,neolithic,LN,Lattrigen,203761,558328
78,59,,CH,Neuchâtel,Auvernier,Le Port,settlement,settlement lakeshore,dendro & 14-C,neolithic,UN,Cortaillod,203173,557805
79,59,,CH,Neuchâtel,Auvernier,Le Port,settlement,settlement lakeshore,dendro & 14-C,neolithic,UN,Cortaillod,203179,558297
80,59,,CH,Neuchâtel,Auvernier,Le Port,settlement,settlement lakeshore,dendro & 14-C,neolithic,UN,Cortaillod,203131,557748
81,59,,CH,Neuchâtel,Auvernier,Le Port,settlement,settlement lakeshore,dendro & 14-C,neolithic,UN,Cortaillod,203720,557824
82,60,,CH,Neuchâtel,Auvernier,Les Abbesses,settlement,settlement lakeshore,typological,bronze age,LBA,,203415,557566
83,61,,CH,Neuchâtel,Auvernier,Les Graviers,settlement,settlement lakeshore,dendro,bronze age,EBA,BzA2,202898,557893
84,61,,CH,Neuchâtel,Auvernier,Les Graviers,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,202713,558061
85,61,,CH,Neuchâtel,Auvernier,Les Graviers,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,203168,557780
86,61,,CH,Neuchâtel,Auvernier,Les Graviers,settlement,settlement lakeshore,dendro,neolithic,EN,AC/SK,202716,557986
87,61,,CH,Neuchâtel,Auvernier,Les Graviers,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,203401,557398
88,61,,CH,Neuchâtel,Auvernier,Les Graviers,settlement,settlement lakeshore,dendro,bronze age,LBA,,203253,557982
89,61,,CH,Neuchâtel,Auvernier,Les Graviers,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,203290,557901
90,61,,CH,Neuchâtel,Auvernier,Les Graviers,settlement,settlement lakeshore,dendro,neolithic,LN,Luescherz,202958,557358
