,"name_orig","name_joint"
"1","Abies","Abies"
"2","Abies alba","Abies"
"3","Acer","Acer"
"4","Achillea","Achillea"
"5","Achillea-type","Achillea"
"6","Allium","Allium"
"7","Allium-type","Allium"
"8","Alnus","Alnus"
"9","Alnus glutinosa-type","Alnus"
"10","Alnus viridis","Alnus"
"11","Amaranthaceae","Amaranthaceae"
"12","Amaranthaceae-type","Amaranthaceae"
"13","Anemone nemorosa","Anemone"
"14","Anemone nemorosa-type","Anemone"
"15","Anemone-type","Anemone"
"16","Anthemideae","Anthemideae"
"17","Apiaceae","Apiaceae"
"18","Apiaceae undiff.","Apiaceae"
"19","Arctium","Arctium"
"20","Artemisia","Artemisia"
"21","Aster-type","Aster"
"22","Asteraceae","Asteraceae"
"23","Asteroideae","Asteroideae"
"24","Avena-type","Cerealia"
"25","Betula","Betula"
"26","Betula nana","Betula"
"27","Betula pubescens-type","Betula"
"28","Bistorta officinalis","Bistorta"
"29","Bistorta officinalis-type","Bistorta"
"30","Bistorta officinalis/B. vivipara","Bistorta"
"31","Bistorta vivipara","Bistorta"
"32","Brassicaceae","Brassicaceae"
"33","Bupleurum-type","Bupleurum"
"34","Buxus","Buxus"
"35","Buxus sempervirens","Buxus"
"36","Calluna","Calluna"
"37","Calluna vulgaris","Calluna"
"38","Caltha palustris","Calluna"
"39","Caltha-type","Caltha"
"40","Campanula","Campanulaceae"
"41","Campanulaceae","Campanulaceae"
"42","Cannabaceae","Cannabaceae"
"43","Cannabaceae sensu stricto","Cannabaceae"
"44","Cannabis sativa","Cannabaceae"
"45","Carduus","Carduus"
"46","Carduus-type","Carduus"
"47","Carpinus","Carpinus"
"48","Carpinus betulus","Carpinus"
"49","Carum-type","Carum"
"50","Caryophyllaceae","Caryophyllaceae"
"51","Caryophyllaceae undiff.","Caryophyllaceae"
"52","Castanea","Castanea"
"53","Castanea sativa","Castanea"
"54","Centaurea","Centaurea"
"55","Centaurea cyanus","Centaurea"
"56","Centaurea montana-type","Centaurea"
"57","Centaurea nigra","Centaurea"
"58","Centaurea nigra-type","Centaurea"
"59","Centaurea scabiosa","Centaurea"
"60","Centaurea scabiosa-type","Centaurea"
"61","Centaurium","Centaurium"
"62","Cerastium","Cerastium"
"63","Cerastium-type","Cerastium"
"64","cf. Saxifraga oppositifolia-type","Saxifraga"
"65","Chaerophyllum-type","Chaerophyllum"
"66","Chamaenerion angustifolium","Chamaenerion"
"67","Cichorioideae","Cichorioideae"
"68","Cirsium-type","Cirsium"
"69","Cladium mariscus","Cladium"
"70","Clematis","Clematis"
"71","Cornus mas","Cornus"
"72","Cornus sanguinea","Cornus"
"73","Cornus undiff.","Cornus"
"74","Corydalis cava-type","Corydalis"
"75","Corylus","Corylus"
"76","Corylus avellana","Corylus"
"77","Crepis","Crepis"
"78","Cyperaceae","Cyperaceae"
"79","Daucus carota","Daucus"
"80","Daucus-type","Daucus"
"81","Dianthus-type","Dianthus"
"82","Dipsacus","Dipsacus"
"83","Dryas octopetala","Dryas"
"84","Dryas-type","Dryas"
"85","Echium","Echium"
"86","Ephedra distachya","Ephedra"
"87","Ephedra distachya-type","Ephedra"
"88","Ephedra fragilis","Ephedra"
"89","Ephedra fragilis-type","Ephedra"
"90","Epilobium","Epilobium"
"91","Erica","Erica"
"92","Ericaceae","Ericaceae"
"93","Ericaceae undiff.","Ericaceae"
"94","Eryngium","Eryngium"
"95","Fabaceae","Fabaceae"
"96","Fabaceae undiff.","Fabaceae"
"97","Faboideae","Faboideae"
"98","Fagopyrum","Fagopyrum"
